KODE_SIMPUL;NAMA_SIMPUL;KATEGORI_SIMPUL;SUB_KATEGORI_SIMPUL;LATITUDE;LONGITUDE
SEA-SLG;Sibolga;Pelabuhan;Pelabuhan Laut;1.727736111111111;98.78618055555556
SEA-OBJECTOBJECT-32;Sibolga;Pelabuhan;Pelabuhan Penyeberangan;-1.728176;98.790569
SEA-SDC;Sidangole;Pelabuhan;Pelabuhan Penyeberangan;-0.8867722222222222;127.5000972222222
SEA-OBJECTOBJECT-33;Sikabaluan;Pelabuhan;Pelabuhan Penyeberangan;-1.08044954710377;98.9570577626705
SEA-SIK;Sikakap;Pelabuhan;Pelabuhan Laut;-2.777438888888889;100.2152611111111
SEA-SKK;Sikakap;Pelabuhan;Pelabuhan Penyeberangan;-2.777205555555556;100.2151972222222
SEA-OBJECTOBJECT-34;Sikeli;Pelabuhan;Pelabuhan Penyeberangan;-5.26201689313743;121.79485870008
SEA-SMD;Simanindo;Pelabuhan;Pelabuhan Penyeberangan;2.754138888888889;98.7461388888889
SEA-SNG;Sinabang;Pelabuhan;Pelabuhan Laut;5.888061111111111;95.31663888888889
SEA-PPSNG;Sinabang;Pelabuhan;Pelabuhan Penyeberangan;2.459038;96.404797
SEA-SNL;Singkil;Pelabuhan;Pelabuhan Laut;2.268047222222222;97.80409166666666
SEA-OBJECTOBJECT-35;Singkil;Pelabuhan;Pelabuhan Penyeberangan;2.26901;97.812831
SEA-SJI;Sinjai;Pelabuhan;Pelabuhan Laut;-5.120444444444444;120.2989861111111
SEA-SNE;Sintete;Pelabuhan;Pelabuhan Laut;1.198219444444445;109.055175
SEA-PPSTT;Sintete;Pelabuhan;Pelabuhan Penyeberangan;1.19811512718363;109.055733830214
SEA-SPG;Sipinggan;Pelabuhan;Pelabuhan Penyeberangan;2.434394444444445;98.89814722222224
SEA-SRU;Sirombu;Pelabuhan;Pelabuhan Laut;0.9422361111111112;97.4120388888889
SEA-SON;Siuban;Pelabuhan;Pelabuhan Laut;-2.186408333333333;99.73135555555555
SEA-SWA;Siwa;Pelabuhan;Pelabuhan Laut;-3.677141666666667;120.4278722222222
SEA-PPSWA;Siwa;Pelabuhan;Pelabuhan Penyeberangan;-3.68055102317824;120.430985592075
SEA-SIO;Soasio;Pelabuhan;Pelabuhan Laut;0.6802416666666666;127.4557638888889
SEA-SFI;Sofifi;Pelabuhan;Pelabuhan Laut;0.7356805555555554;127.5521583333333
SEA-SFF;Sofifi;Pelabuhan;Pelabuhan Penyeberangan;-0.7534527777777777;127.5774527777778
SEA-SOQ;Sorong;Pelabuhan;Pelabuhan Laut;-0.8775635;131.244812
SEA-SBA;Subaim;Pelabuhan;Pelabuhan Penyeberangan;-1.126222222222222;128.1330138888889
SEA-SAA;Sukamara;Pelabuhan;Pelabuhan Laut;-2.709166666666667;111.1705555555556
SEA-SKE-1;Sunda Kelapa;Pelabuhan;Pelabuhan Laut;-6.121402777777777;106.8124027777778
SEA-SUQ;Sungai Guntung;Pelabuhan;Pelabuhan Laut;0.3050138888888889;103.6136444444444
SEA-SLU;Sungai Lumpur;Pelabuhan;Pelabuhan Laut;-3.407669444444444;105.8725111111111
SEA-SNY;Sungai Nyamuk;Pelabuhan;Pelabuhan Laut;4.160636111111112;117.9203333333333
SEA-SUS;Susoh;Pelabuhan;Pelabuhan Laut;3.72025;96.80969722222223
